resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,stim/VC_09.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.98412,1,1,12,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.08633,1,2,13,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.176635,1,3,14,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.089045,1,4,15,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.18438,1,5,16,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.00907,1,6,17,6,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.23891,1,7,18,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.089655,1,8,19,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.136085,1,9,20,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.113985,1,10,21,1,1,,,,,,,,,,,,,,
