resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran
left,34.681935,0,0,0,1,1,stim/VC_11.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,4.15101,0,1,1,0,1,stim/VC_01.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,space,4.560535,left,2.692225,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.98654,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.87047,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.946785,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.86794,0,4,4,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.760625,0,5,5,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.7729,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,1.32203,0,7,7,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.93864,0,8,8,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.778965,0,9,9,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.83628,0,10,10,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,1.186755,1,0,11,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.73588,1,1,12,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.621375,1,2,13,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.751265,1,3,14,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.63366,1,4,15,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,1.1174,1,5,16,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,2.4515,1,6,17,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.821665,1,7,18,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,2.36362,1,8,19,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,1.09616,1,9,20,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,6.25191,1,10,21,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.81451,2,0,22,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.67279,2,1,23,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.722745,2,2,24,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.638945,2,3,25,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,2.187785,2,4,26,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.77198,2,5,27,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,1.304325,2,6,28,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.72355,2,7,29,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.657445,2,8,30,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.833375,2,9,31,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.546075,2,10,32,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.90202,,,,,,4,0,4.90496,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.68823,,,,,,,,,0,1,1,10,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.68962,,,,,,,,,0,2,2,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.555185,,,,,,,,,0,3,3,6,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.70474,,,,,,,,,0,4,4,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.53848,,,,,,,,,0,5,5,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.636335,,,,,,,,,0,6,6,1,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.68525,,,,,,,,,0,7,7,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.95659,,,,,,,,,0,8,8,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.58592,,,,,,,,,0,9,9,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.885865,,,,,,,,,0,10,10,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,1.07892,,,,,,,,,1,0,11,10,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.720535,,,,,,,,,1,1,12,1,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,1.003225,,,,,,,,,1,2,13,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.611225,,,,,,,,,1,3,14,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.564405,,,,,,,,,1,4,15,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.655325,,,,,,,,,1,5,16,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,0.523375,,,,,,,,,1,6,17,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.514365,,,,,,,,,1,7,18,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,0.547815,,,,,,,,,1,8,19,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,left,1.73628,,,,,,,,,1,9,20,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,right,1.83427,,,,,,,,,1,10,21,6,1,,,,,,,,,,,,,,
,,,,,,,stim2/pa+25.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,1.922465,0,0,0,4,1,,,,,,,
,,,,,,,stim2/pa+35.wav,5f6aca6b9b8c12072e3b670c,2021-02-24_13h02.06.296,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,3.171195,0,1,1,6,1,,,,,,,
