resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran
,,,,,,,stim/VC_01.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.75055,0,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,1.782765,0,9,9,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.784105,0,10,10,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,1.200515,1,0,11,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,1.582915,1,1,12,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.808235,1,2,13,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.885525,1,3,14,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.983645,1,4,15,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.650925,1,5,16,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.909935,1,6,17,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.90222,1,7,18,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,1.016945,1,8,19,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.78129,1,9,20,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.77409,1,10,21,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.889765,2,0,22,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,1.96681,2,1,23,5,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.90123,2,2,24,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.74451,2,3,25,2,1,,,,,,,,,,,,,,,,,,,,,,
