mean_ebv,mean_sbv,mean_l3bv,n,group
0.6636363636363636,0.6465909090909091,0.65,16,esf
0.6386363636363637,0.6488636363636363,0.6335227272727273,16,esh
0.5719696969696969,0.6128787878787879,0.6053030303030303,24,seh
0.5569377990430622,0.5985645933014354,0.5889952153110047,19,sef
