participant,exp,language,step_cont,response,l1,l2
563bb259be9cac0005aab7ab,vowels,english,1,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,4,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,8,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,7,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,2,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,6,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,9,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,10,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,3,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,11,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,5,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,8,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,7,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,2,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,5,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,11,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,3,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,10,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,4,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,1,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,6,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,9,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,3,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,11,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,1,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,10,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,6,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,5,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,7,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,4,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,8,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,9,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,2,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,3,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,9,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,6,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,2,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,11,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,8,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,5,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,4,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,1,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,7,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,10,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,5,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,9,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,10,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,6,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,3,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,8,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,7,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,1,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,4,0,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,11,1,Spanish,English
563bb259be9cac0005aab7ab,vowels,english,2,0,Spanish,English
563bb259be9cac0005aab7ab,stops,english,20,1,Spanish,English
563bb259be9cac0005aab7ab,stops,english,-35,0,Spanish,English
563bb259be9cac0005aab7ab,stops,english,-10,0,Spanish,English
563bb259be9cac0005aab7ab,stops,english,15,0,Spanish,English
563bb259be9cac0005aab7ab,stops,english,25,1,Spanish,English
563bb259be9cac0005aab7ab,stops,english,30,1,Spanish,English
563bb259be9cac0005aab7ab,stops,english,-20,0,Spanish,English
563bb259be9cac0005aab7ab,stops,english,-30,0,Spanish,English
563bb259be9cac0005aab7ab,stops,english,35,1,Spanish,English
