"","participant","exp","l1","english","spanish","l3","l3_group"
"1","5dc483cf74939e34e55c3619","stops","English",0.137897652601221,-0.228993288741608,-0.117628841347287,"french"
"2","5ea01b4b2d7b4d0243d93f78","stops","English",0.0604354370329411,0.12122365441252,-0.0900145465322057,"french"
"3","5f2bffa8d4f0d601244ab240","stops","English",0.329018928237381,0.728662940007352,0.924627538789583,"french"
"4","5f51e044db8a35429f9d6e7b","stops","English",-0.864296183865603,-0.846283421825606,-0.64333845719471,"french"
"5","5f989fa02b5a611b2df1a305","stops","English",0.977448462710945,1.35175331142693,1.19248475509107,"french"
"6","5fac89c216b5ae293eb9cfd9","stops","English",0.461794078923829,-0.936812327862642,0.397525207697207,"french"
"7","5fbb445fed317dc4907cfad4","stops","English",0.924627537605948,0.471560484345636,0.146473469493568,"french"
"8","5fceb47a2cc34e169c85d3d7","stops","English",0.210098826481564,-0.077443238650124,-0.185948056888779,"french"
"9","5fd529f2c346b034c758c278","stops","English",1.0860930453209,0.0198907081409793,-0.40579378038339,"french"
"10","5a08c9a7f2e3460001edb063","stops","English",0.695948502919223,0.354005114211394,0.950422185700126,"hungarian"
"11","5b2a091e7297750001c7653e","stops","English",0.0493794496301131,0.143638291556579,0.0999005111285857,"hungarian"
"12","5dd733664524e76dc4537fe2","stops","English",0.761642858391109,0.198235692967801,0.101229397454486,"hungarian"
"13","5e67032bc302df492496fbaa","stops","English",-0.194603795764761,-0.227678073640289,-0.0103404161123536,"hungarian"
"14","5ec5a55832a7515e8324a8a8","stops","English",0.73729932654284,0.145579127690066,0.0121787057696487,"hungarian"
"15","5f464897fd3e1a000a17db32","stops","English",0.07720980440213,0.765223340308464,-0.0338736662553935,"hungarian"
"16","5f4bf4536b68b57e64ad4f2d","stops","English",-0.200149303804407,0.164542773169591,-0.198112537087478,"hungarian"
"17","5f56143fd7f57c9e86a26bfa","stops","English",0.952343079410098,0.757719707591586,0.644861421866774,"hungarian"
"18","5fb31c2b353c5ea37f63bdc6","stops","English",0.430610566452953,0.143198907801166,0.196104675725603,"hungarian"
"19","5fc1df101de4be2f7e501f2c","stops","English",0.418555201996831,0.725464123052171,-0.00705930439845368,"hungarian"
"20","5fc679e8b4c6de107d3ba8f5","stops","English",0.606650704128009,0.116179878429705,0.142435447965266,"hungarian"
"21","5fd9889065c9f726aeaed2ae","stops","English",0.311988441388271,0.299821259977749,0.139787358605481,"hungarian"
"22","5fe1788f2178d1c1b4af5bbd","stops","English",1.25988819552031,0.853557951979161,0.622678019829568,"hungarian"
"23","5fe92ffe2c2ee638b14a6d29","stops","English",1.17985994139792,1.06836837371781,0.0782498946798065,"hungarian"
"24","563bb259be9cac0005aab7ab","stops","Spanish",-0.0245044121737792,-0.0293478985056295,-0.176661402346603,"hungarian"
"25","5ad9fe1b80491c000142e065","stops","Spanish",-0.013213461342378,0.0953359947632881,-0.179592120003827,"hungarian"
"26","5cf5fe247ce340001ac0bdd8","stops","Spanish",0.517185790707333,0.430506885511226,-0.428838962602898,"hungarian"
"27","5d4cc624ae079c0019f544b6","stops","Spanish",0.0782201081609621,-1.79984442650563,-1.05296460332937,"hungarian"
"28","5d7c7425c0d7db00187b1199","stops","Spanish",0.418555201997004,-0.0519867153797606,-0.0931255289187149,"hungarian"
"29","5d97bf1cfaa2860015b165a6","stops","Spanish",-0.563904613043997,-0.176431545524483,0.0826364388974146,"hungarian"
"30","5e111e34e69d0a80632daba6","stops","Spanish",-0.295432202804188,-0.244664168355649,-0.1766614023466,"hungarian"
"31","5e3f7b673ba9991dc9cabcfa","stops","Spanish",0.349190971351468,-0.167451432215959,0.414467928350886,"hungarian"
"32","5e88a67c651ae60009602e69","stops","Spanish",-0.405423056884179,-0.247516306619351,-0.723352844034196,"hungarian"
"33","5e8e520df84fbf114143b0a2","stops","Spanish",-0.171803268333555,-0.993444096512111,-1.07812210119242,"hungarian"
"34","5ec28db2622c500632dc95bc","stops","Spanish",1.82553958369404,0.479451638045325,0.594343203422573,"hungarian"
"35","5ee579ecd4169f2bee94041e","stops","Spanish",-0.48965656139842,-0.322081783425705,-0.71081819355589,"hungarian"
"36","5f00962ef7b0241ae371d912","stops","Spanish",1.45663774688169,0.324462683164956,0.300676222626974,"hungarian"
"37","5f19dc86afa07c0894f60578","stops","Spanish",0.127251084058908,-0.170955598976567,-0.134355552209214,"hungarian"
"38","5f2dfe7552744f15bee0423c","stops","Spanish",-0.934410184225046,-0.987010920660609,-0.701166509304227,"hungarian"
"39","5f3020ed291f7344af6d82e1","stops","Spanish",-0.377910219396017,-0.404814473073068,-0.485342569909402,"hungarian"
"40","5f3050933b5a04118e4a4f73","stops","Spanish",-0.747797972969872,-0.692961003604295,-0.639193107439987,"hungarian"
"41","5f4e8e05550a4d095a76387f","stops","Spanish",0.195331640602634,-0.176661402346602,0.386620234671546,"hungarian"
"42","5f6265b707ccb62ae21f22a2","stops","Spanish",-0.383694757835071,-0.251420884488689,-0.269838540396544,"hungarian"
"43","5f67c61d4084d6407fb4a346","stops","Spanish",0.15039731006421,-0.126387384493017,-0.290667436230931,"hungarian"
"44","5f6916f985575a0f22ec8f69","stops","Spanish",0.219125309828665,0.138028453844527,0.963375824501519,"hungarian"
"45","5f6aca6b9b8c12072e3b670c","stops","Spanish",0.320595377011112,0.142667246444146,-0.822513983320623,"hungarian"
"46","5f749c73a22350067f962e98","stops","Spanish",0.518444612357496,0.219387809200977,0.968769320082486,"hungarian"
"47","5fa379c756d0fe67b022823b","stops","Spanish",-0.0142712941787559,-0.196131035708207,-0.577627934149612,"hungarian"
"48","5fb409b846be3f02e4bba819","stops","Spanish",-0.329823187288678,-0.418769507646493,-0.405878931172381,"hungarian"
"49","5fbef81be5a619162a47170c","stops","Spanish",0.139282974727226,0.0207262999785498,-0.102836370825796,"hungarian"
"50","5fd9684eb6ce932447f5e810","stops","Spanish",0.271609607730422,-0.24654933230844,-0.354750017268741,"hungarian"
"51","5fefa6ca19762831d10054bc","stops","Spanish",0.0772852518007607,0.25161155099383,-0.029347898507353,"hungarian"
"52","60069526535f9aa0acab5ba3","stops","Spanish",-0.062296603169522,-0.0364072516069633,0.313420009720099,"hungarian"
"53","5b77869d338a9300015468cf","stops","Spanish",-0.074886600291614,-0.281849706129807,-0.345298468380301,"french"
"54","5c72dea09048710001bce0d4","stops","Spanish",-0.242838418101209,-0.0917669467450953,0.253444621829472,"french"
"55","5d159d0a8078020016aa60b9","stops","Spanish",0.922182160720146,-0.173703605395648,0.00719878895645611,"french"
"56","5d5c7b0c98683400182d00cb","stops","Spanish",0.391428036977397,1.17983062968827,1.04523086045688,"french"
"57","5e5e06a0394d0811996bd24a","stops","Spanish",-0.92958560411768,-1.12367224374318,-1.14790483014325,"french"
"58","5e9133f704391d46ee2bcb31","stops","Spanish",-0.408318354029245,-0.462927024977305,-0.150746354756124,"french"
"59","5eb0cb5afb9e2418da928edb","stops","Spanish",-0.595521964223013,-0.797473629286175,-0.413329433406907,"french"
"60","5eb471789686d82c24661cb3","stops","Spanish",-0.63482748266448,-0.635887642867711,-0.463363238504798,"french"
"61","5ec5a561c1172f5f55cfb425","stops","Spanish",1.88066306463619,-0.343815567298888,-0.555155804648568,"french"
"62","5f10dbe567c6dd412e0738cf","stops","Spanish",-0.304614424433164,-0.520476158244505,-0.40488483640884,"french"
"63","5f2f0ce447c28c13b4644609","stops","Spanish",-0.489048332283813,0.221476386560174,-0.317836634860118,"french"
"64","5f4928d947b9fe312e9980ad","stops","Spanish",-0.785832502565311,-0.504802708064114,-0.635196017254615,"french"
"65","5f627f278e84972eba87f841","stops","Spanish",-0.176661402346603,-0.284659402698368,-0.232507878873791,"french"
"66","5f83e5fac85c275782756b34","stops","Spanish",-0.723352844034197,-0.423602496834293,-0.598756045828454,"french"
"67","5fc58e33547d7a109d04a2b4","stops","Spanish",0.833654726186764,0.0771887391680233,-0.018104418530093,"french"
"68","5fc9b1252395584af6debd51","stops","Spanish",-0.416450699874824,-0.606655301923736,-0.187740713028097,"french"
"69","5fd34418e94b23000a800dcc","stops","Spanish",-0.596556583602177,-0.311979391999146,-0.3999435929653,"french"
