instructions_text,continue_text,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,stim,word,correct_response,prac_button_real,prac_button_false,participant,session,date,expName,psychopyVersion,frameRate,
"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),0,0,0,0,,,,,,,,,,,001,2020_Oct_22_1551,empathy_intonation_perc,2020.2.3,59.98497975842772,
"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),0,1,1,1,,,,,,,,,,,001,2020_Oct_22_1551,empathy_intonation_perc,2020.2.3,59.98497975842772,
Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),0,2,2,2,,,,,,,,,,,001,2020_Oct_22_1551,empathy_intonation_perc,2020.2.3,59.98497975842772,
"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),0,3,3,3,,,,,,,,,,,001,2020_Oct_22_1551,empathy_intonation_perc,2020.2.3,59.98497975842772,
