participant,score
5e9133f704391d46ee2bcb31 ,92.5
5d4cc624ae079c0019f544b6,63.75
5e5e06a0394d0811996bd24a,81.25
5c4b8e6f3b58fc00012769f0,80
5d7c7425c0d7db00187b1199,97.5
5fd954357541e7448e28d079,83.75
5f3344917a7a0b159bd0c375,88.75
5e88a67c651ae60009602e69,95
5f3020ed291f7344af6d82e1,77.5
5f10dbe567c6dd412e0738cf,77.5
5e9546ebbc08e21354f19f4d,95
5e8e520df84fbf114143b0a2,72.5
5d97bf1cfaa2860015b165a6,76.25
5ec5a561c1172f5f55cfb425,88.75
5fc58e33547d7a109d04a2b4,77.5
5ee579ecd4169f2bee94041e,95
5c30a8e12644d70001858e18,50
5d5c7b0c98683400182d00cb,90
5eb0cb5afb9e2418da928edb,87.5
5ee08986959b2e030329a45b,77.5
5eb3a51f58efe718f5cffdb4,87.5
5f3050933b5a04118e4a4f73,67.5
5f2ec86009f78c0b3d00859c,88.75
5c72dea09048710001bce0d4,62.5
5ffa084e81dc0338d74f08ad,63.75
5e960b2f046690071774fc2d,73.75
5f83e5fac85c275782756b34,81.25
5f494676e0837811e94a4007,65
5f67c61d4084d6407fb4a346,77.5
5f4c0d7a3bca8010082546e1,68.75
5fefa6ca19762831d10054bc,86.25
5fbef81be5a619162a47170c,83.75
5eb471789686d82c24661cb3,88.75
5d159d0a8078020016aa60b9,92.5
5b77869d338a9300015468cf,97.5
572f409e3c27e7000e0b89aa,82.5
5f627f278e84972eba87f841,87.5
5ef1499d2d63da73cc0e2599,62.5
5fc9b1252395584af6debd51,96.25
5fd34418e94b23000a800dcc,83.75
5f4928d947b9fe312e9980ad,85
5fefa6ca19762831d10054bc,91.25
5f2f0ce447c28c13b4644609,60
5fd68a60a4bf795c549ac1cc,77.5
5f749c73a22350067f962e98,93.75
5f31dbb1ef94e011f5c74179,93.75
5e3f7b673ba9991dc9cabcfa,70
5fa379c756d0fe67b022823b,92.5
5eaf0e378f26940719d2b02e,83.75
5fb31c2b353c5ea37f63bdc6,88.75
5ea245add2bc1c15dfed3c2d,92.5
5f19dc86afa07c0894f60578,73.25
5f4e8e05550a4d095a76387f,80
5f68f02c41716709ee9be42d,77.5
5f4056738318181904984b01,75
5f6265b707ccb62ae21f22a2,75
5ee67e08ae1ebf0b622da12f,87.5
5fd77adb7bc08d08d85542cc,100
5f6916f985575a0f22ec8f69,86.25
5cf5fe247ce340001ac0bdd8,90
5a56481276d1c60001aaeb61,82.5
60069526535f9aa0acab5ba3,66.25
5f4bf4536b68b57e64ad4f2d,92.5
5ad9fe1b80491c000142e065,93.75
5fb409b846be3f02e4bba819,72.5
5f2dfe7552744f15bee0423c,67.5
5eb5cb8ddef42c4ad1456dd9,83.75
5f2e22b0d49b95188fd9b5a3,66.25
563bb259be9cac0005aab7ab,90
5fd9684eb6ce932447f5e810,83.75
5ec5a55832a7515e8324a8a8,72.5
5ffdbbc7ccbb0e317390f548,76.25
5f641323fc170219bf367bb9,72.5
5c1bbb2a1ba5780001a66149,97.5
5f00962ef7b0241ae371d912,71.25
5e111e34e69d0a80632daba6,95
5f6aca6b9b8c12072e3b670c,90
5f7cada3fac3bc114cb6d6b8,82.5
5f7cada3fac3bc114cb6d6b8,83.75
