stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,Fifrelő_p.started,Fifrelő_p.stopped,fufri_practice.started,fufri_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,Fifrelő.started,Fifrelő.stopped,Fufrelő.started,Fufrelő.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_01.wav,0,0,0,0,,,,,16.78971070004627,None,18.037669999990612,18.43774819979444,18.53775705974549,None,left,9.529070800170302,18.537856999784708,None,18.537856999784708,None,18.537856999784708,None,,,,,,,,,,,,,,,,,,,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_11.wav,0,1,1,1,,,,,,,28.092169399838895,28.50379139976576,28.587115959916265,None,right,0.8753229998983443,28.587214299943298,None,28.587214299943298,None,28.587214299943298,None,,,,,,,,,,,,,,,,,,,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
,,,,,,,,,,,,,,,,,,,,,,,30.32060129987076,None,space,0.5350202000699937,30.57068989984691,None,,,,,,,,,,,,,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_09.wav,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,31.141580199822783,31.553849999792874,31.636741259787232,None,right,1.046828499995172,31.636926299892366,None,31.636926299892366,None,31.636926299892366,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_10.wav,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,32.70347920013592,33.10338639980182,33.20337265981361,None,right,0.7685134001076221,33.20341550000012,None,33.20341550000012,None,33.20341550000012,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_11.wav,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,34.00617939978838,34.42025029985234,34.50363976014778,None,right,0.7478392999619246,34.50363689986989,None,34.50363689986989,None,34.50363689986989,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_01.wav,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,35.27436750009656,35.68696489976719,35.77028566012159,None,left,0.7331729000434279,35.77124959975481,None,35.77124959975481,None,35.77124959975481,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_03.wav,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,36.52597810002044,36.93680649995804,37.02018506005406,None,left,1.395125299692154,37.02015729993582,None,37.02015729993582,None,37.02015729993582,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_04.wav,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,38.445368399843574,38.85337710008025,38.936747459881005,None,left,1.1434669001027942,38.93733409978449,None,38.93733409978449,None,38.93733409978449,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_06.wav,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,40.11106469994411,40.51993069984019,40.603304059896615,None,left,1.3845255998894572,40.60325279971585,None,40.60325279971585,None,40.60325279971585,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_07.wav,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,42.01116199977696,42.419749199878424,42.503166659921405,None,right,0.8852026001550257,42.503195399884135,None,42.503195399884135,None,42.503195399884135,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_05.wav,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,43.42442480009049,43.836802899837494,43.919708360172805,None,right,1.101451899856329,43.91973750013858,None,43.91973750013858,None,43.91973750013858,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_02.wav,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,45.04313080012798,45.45293929986656,45.53628725996241,None,left,0.752634699922055,45.53646430000663,None,45.53646430000663,None,45.53646430000663,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_08.wav,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,46.31926399981603,46.719269999768585,46.8192189598456,None,right,0.6449040998704731,46.81925419997424,None,46.81925419997424,None,46.81925419997424,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_05.wav,,,,,1,0,11,4,,,,,,,,,,,,,,,,,,,,,47.485828899778426,47.88586060004309,47.96912666009739,None,right,1.1329453000798821,47.96930189989507,None,47.96930189989507,None,47.96930189989507,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
stim/VC_04.wav,,,,,1,1,12,3,,,,,,,,,,,,,,,,,,,,,49.11902209976688,49.51900549978018,49.60231396015733,None,left,0.7858337997458875,49.602419999893755,None,49.602419999893755,None,49.602419999893755,None,01,c,2020_Oct_21_1829,2_afc_hung,2020.2.3,60.001680171599354,
