resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
right,6.33138,0,0,0,1,1,stim/VC_11.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
left,1.016715,0,1,1,0,1,stim/VC_01.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,space,1.417605,right,0.69922,0,0,0,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.55175,0,1,1,6,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.499855,0,2,2,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.68328,0,3,3,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.583675,0,4,4,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.717345,0,5,5,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.51594,0,6,6,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.569525,0,7,7,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.61801,0,8,8,1,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.565525,0,9,9,10,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.67017,0,10,10,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.617035,1,0,11,10,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.499815,1,1,12,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.516945,1,2,13,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.48701,1,3,14,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.467005,1,4,15,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,1.266665,1,5,16,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.67225,1,6,17,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.850375,1,7,18,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.68402,1,8,19,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.500765,1,9,20,6,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.499895,1,10,21,1,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.58328,2,0,22,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.58354,2,1,23,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.80024,2,2,24,10,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.49978,2,3,25,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5c8be0dd542fbd0016924f5f,2021-01-04_08h10.26.584,Hungarian_step4,2020.2.3,MacIntel,60,,,right,1.28389,2,4,26,4,1,,,,,,,,,,,,,,
