resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate
left,0.685015,0,0,0,0,1,stim/VC_01.wav,disregard,2020-12-21_11h45.33.998,2_afc_fren,2020.2.3,Win32,60
right,0.075325,0,1,1,1,1,stim/VC_11.wav,disregard,2020-12-21_11h45.33.998,2_afc_fren,2020.2.3,Win32,60
