resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran
right,2.778,0,0,0,1,1,stim/VC_11.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.515,0,1,1,0,1,stim/VC_01.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,space,3.28,right,2.803,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,right,1.096,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,right,1.309,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,right,1.032,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,right,0.941,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,right,0.729,0,5,5,8,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,right,0.915,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ec5a561c1172f5f55cfb425,2021-01-19_22h17.18.073,English_step1,2020.2.3,Win32,60,,,right,0.813,0,7,7,10,1,,,,,,,,,,,,,,,,,,,,,,
