"","participant","exp","group","l2","l1","l3","l3_group"
"1","5b77869d338a9300015468cf","vowels","Spanish",-0.0708065086095717,-0.103586279356329,-0.12858382251427,"french"
"2","5c72dea09048710001bce0d4","vowels","Spanish",-0.0591431700499712,-0.105221637385066,-0.128393977136363,"french"
"3","5d159d0a8078020016aa60b9","vowels","Spanish",-0.0900218719441968,-0.0996142940551688,-0.0997225333825317,"french"
"4","5d5c7b0c98683400182d00cb","vowels","Spanish",-0.0900430695864905,-0.109157994486928,-0.0996496350640077,"french"
"5","5e5e06a0394d0811996bd24a","vowels","Spanish",-0.0901274967438104,-0.0900828175506929,-0.118886976323299,"french"
"6","5e9133f704391d46ee2bcb31","vowels","Spanish",-0.0804279388544982,-0.176317539548574,-0.157220239303119,"french"
"7","5e9546ebbc08e21354f19f4d","vowels","Spanish",-0.149632882923575,-0.149632882923575,-0.154074777509812,"french"
"8","5eb0cb5afb9e2418da928edb","vowels","Spanish",-0.00762384539234055,-0.0324323402564876,-0.0132311887320071,"french"
"9","5eb471789686d82c24661cb3","vowels","Spanish",-0.0228232725162806,-0.0324528789270018,-0.0324323402564876,"french"
"10","5f10dbe567c6dd412e0738cf","vowels","Spanish",-0.0612313139785263,-0.080678808966902,-0.0804135137355632,"french"
"11","5f2f0ce447c28c13b4644609","vowels","Spanish",-0.00570668979822345,-0.119123394553764,-0.0612396684742673,"french"
"12","5f4928d947b9fe312e9980ad","vowels","Spanish",-0.0130356004855072,0.00145668691142563,-0.00356609305738486,"french"
"13","5f627f278e84972eba87f841","vowels","Spanish",-0.118886976329264,-0.197585794424317,-0.0708451126095163,"french"
"14","5f83e5fac85c275782756b34","vowels","Spanish",-0.186097275683922,-0.201198566897079,-0.224269956916304,"french"
"15","5fc58e33547d7a109d04a2b4","vowels","Spanish",-0.0811534106419711,-0.149632882923575,-0.128347174436576,"french"
"16","5fc9b1252395584af6debd51","vowels","Spanish",-0.00303141342195205,-0.05166862882001,-0.0804498925856994,"french"
"17","5fd34418e94b23000a800dcc","vowels","Spanish",-0.128393977136363,-0.157142506067715,-0.128347174436576,"french"
"18","563bb259be9cac0005aab7ab","vowels","Spanish",-0.0572370151899248,-0.105221637385066,-0.109157994486928,"hungarian"
"19","5ad9fe1b80491c000142e065","vowels","Spanish",-0.149632882923575,-0.166812546184092,-0.157142506067715,"hungarian"
"20","5cf5fe247ce340001ac0bdd8","vowels","Spanish",-0.139623173011933,-0.162521793760986,-0.176406030305173,"hungarian"
"21","5d4cc624ae079c0019f544b6","vowels","Spanish",0.0367874001515174,-0.0516198943239242,-0.0537023127356646,"hungarian"
"22","5d7c7425c0d7db00187b1199","vowels","Spanish",-0.196120213730259,-0.0572370151899248,-0.1092300570695,"hungarian"
"23","5d97bf1cfaa2860015b165a6","vowels","Spanish",-0.0278954088504222,-0.118679888816521,-0.118679888816522,"hungarian"
"24","5e111e34e69d0a80632daba6","vowels","Spanish",-0.109279389722854,-0.153210430139349,-0.128951822145106,"hungarian"
"25","5e3f7b673ba9991dc9cabcfa","vowels","Spanish",-0.0420162251537012,-0.055608467581311,-0.0516289012865506,"hungarian"
"26","5e88a67c651ae60009602e69","vowels","Spanish",-0.157142506067715,-0.197585794424317,-0.177707157253702,"hungarian"
"27","5e8e520df84fbf114143b0a2","vowels","Spanish",-0.0803926037917953,-0.0421466422186237,-0.0324323402564876,"hungarian"
"28","5ec28db2622c500632dc95bc","vowels","Spanish",-0.0612396684742677,-0.0515632003326186,-0.140117803109132,"hungarian"
"29","5f00962ef7b0241ae371d912","vowels","Spanish",-0.0420003701776657,-0.0708688539111028,-0.0617930225452249,"hungarian"
"30","5f19dc86afa07c0894f60578","vowels","Spanish",0.0618200725155387,-0.00368748830025429,-0.0537023127356646,"hungarian"
"31","5f2dfe7552744f15bee0423c","vowels","Spanish",-0.128740640316611,-0.151559311231442,-0.084174089286592,"hungarian"
"32","5f3050933b5a04118e4a4f73","vowels","Spanish",-0.061176853967172,-0.0130356004855056,-0.0516289012865506,"hungarian"
"33","5f3344917a7a0b159bd0c375","vowels","Spanish",-0.105221637385066,-0.118679888816521,-0.0612313139794847,"hungarian"
"34","5f4056738318181904984b01","vowels","Spanish",-0.176375600809567,-0.197585794424317,-0.205454283356012,"hungarian"
"35","5f4e8e05550a4d095a76387f","vowels","Spanish",-0.055608467581311,-0.0901274967438104,-0.0708451126095155,"hungarian"
"36","5f6265b707ccb62ae21f22a2","vowels","Spanish",-0.0516686288200099,-0.055608467581311,-0.0537023127356646,"hungarian"
"37","5f67c61d4084d6407fb4a346","vowels","Spanish",-0.042026141556575,-0.0591431700499712,-0.055608467581311,"hungarian"
"38","5f6916f985575a0f22ec8f69","vowels","Spanish",-0.0228236108429852,-0.0324175439326838,-0.0036874883002543,"hungarian"
"39","5f6aca6b9b8c12072e3b670c","vowels","Spanish",-0.0996496350640077,-0.147841329161307,-0.101676157607622,"hungarian"
"40","5f749c73a22350067f962e98","vowels","Spanish",-0.0516289012865506,-0.0712865482554671,-0.0612508892231561,"hungarian"
"41","5fb409b846be3f02e4bba819","vowels","Spanish",-0.103586279356329,-0.0904508781320784,-0.128397538813081,"hungarian"
"42","5fbef81be5a619162a47170c","vowels","Spanish",-0.0901274967438104,-0.103586279356329,-0.128420191611961,"hungarian"
"43","5fd9684eb6ce932447f5e810","vowels","Spanish",-0.153210430139349,-0.167179488217397,-0.16666399860488,"hungarian"
"44","5fefa6ca19762831d10054bc","vowels","Spanish",-0.0804131425306944,-0.105221637385066,-0.128347174436576,"hungarian"
"45","60069526535f9aa0acab5ba3","vowels","Spanish",-0.070819341230607,-0.0900218719441969,-0.0996622438471876,"hungarian"
