"","participant","exp","l1","english","l3","spanish","l3_group"
"1","563bb259be9cac0005aab7ab","stops","Spanish",-0.0245044121737792,-0.176661402346603,-0.0293478985056295,"hungarian"
"2","5ad9fe1b80491c000142e065","stops","Spanish",-0.013213461342378,-0.179592120003827,0.0953359947632881,"hungarian"
"3","5cf5fe247ce340001ac0bdd8","stops","Spanish",0.517185790707333,-0.428838962602898,0.430506885511226,"hungarian"
"4","5d4cc624ae079c0019f544b6","stops","Spanish",0.0782201081609621,-1.05296460332937,-1.79984442650563,"hungarian"
"5","5d7c7425c0d7db00187b1199","stops","Spanish",0.418555201997004,-0.0931255289187149,-0.0519867153797606,"hungarian"
"6","5d97bf1cfaa2860015b165a6","stops","Spanish",-0.563904613043997,0.0826364388974146,-0.176431545524483,"hungarian"
"7","5e111e34e69d0a80632daba6","stops","Spanish",-0.295432202804188,-0.1766614023466,-0.244664168355649,"hungarian"
"8","5e3f7b673ba9991dc9cabcfa","stops","Spanish",0.349190971351468,0.414467928350886,-0.167451432215959,"hungarian"
"9","5e88a67c651ae60009602e69","stops","Spanish",-0.405423056884179,-0.723352844034196,-0.247516306619351,"hungarian"
"10","5e8e520df84fbf114143b0a2","stops","Spanish",-0.171803268333555,-1.07812210119242,-0.993444096512111,"hungarian"
"11","5ec28db2622c500632dc95bc","stops","Spanish",1.82553958369404,0.594343203422573,0.479451638045325,"hungarian"
"12","5ee579ecd4169f2bee94041e","stops","Spanish",-0.48965656139842,-0.71081819355589,-0.322081783425705,"hungarian"
"13","5f00962ef7b0241ae371d912","stops","Spanish",1.45663774688169,0.300676222626974,0.324462683164956,"hungarian"
"14","5f19dc86afa07c0894f60578","stops","Spanish",0.127251084058908,-0.134355552209214,-0.170955598976567,"hungarian"
"15","5f2dfe7552744f15bee0423c","stops","Spanish",-0.934410184225046,-0.701166509304227,-0.987010920660609,"hungarian"
"16","5f3020ed291f7344af6d82e1","stops","Spanish",-0.377910219396017,-0.485342569909402,-0.404814473073068,"hungarian"
"17","5f3050933b5a04118e4a4f73","stops","Spanish",-0.747797972969872,-0.639193107439987,-0.692961003604295,"hungarian"
"18","5f4e8e05550a4d095a76387f","stops","Spanish",0.195331640602634,0.386620234671546,-0.176661402346602,"hungarian"
"19","5f6265b707ccb62ae21f22a2","stops","Spanish",-0.383694757835071,-0.269838540396544,-0.251420884488689,"hungarian"
"20","5f67c61d4084d6407fb4a346","stops","Spanish",0.15039731006421,-0.290667436230931,-0.126387384493017,"hungarian"
"21","5f6916f985575a0f22ec8f69","stops","Spanish",0.219125309828665,0.963375824501519,0.138028453844527,"hungarian"
"22","5f6aca6b9b8c12072e3b670c","stops","Spanish",0.320595377011112,-0.822513983320623,0.142667246444146,"hungarian"
"23","5f749c73a22350067f962e98","stops","Spanish",0.518444612357496,0.968769320082486,0.219387809200977,"hungarian"
"24","5fa379c756d0fe67b022823b","stops","Spanish",-0.0142712941787559,-0.577627934149612,-0.196131035708207,"hungarian"
"25","5fb409b846be3f02e4bba819","stops","Spanish",-0.329823187288678,-0.405878931172381,-0.418769507646493,"hungarian"
"26","5fbef81be5a619162a47170c","stops","Spanish",0.139282974727226,-0.102836370825796,0.0207262999785498,"hungarian"
"27","5fd9684eb6ce932447f5e810","stops","Spanish",0.271609607730422,-0.354750017268741,-0.24654933230844,"hungarian"
"28","5fefa6ca19762831d10054bc","stops","Spanish",0.0772852518007607,-0.029347898507353,0.25161155099383,"hungarian"
"29","60069526535f9aa0acab5ba3","stops","Spanish",-0.062296603169522,0.313420009720099,-0.0364072516069633,"hungarian"
