"","participant","exp","l1","english","l3","spanish","l3_group"
"1","5a08c9a7f2e3460001edb063","vowels","English",-0.138108826114424,-0.147632512298516,-0.155145786877891,"hungarian"
"2","5b2a091e7297750001c7653e","vowels","English",-0.166946924290118,-0.17770715707947,-0.167526037474302,"hungarian"
"3","5c8be0dd542fbd0016924f5f","vowels","English",-0.109157994486928,-0.133215974434348,-0.118679888816521,"hungarian"
"4","5cf83992bab656000198a9c6","vowels","English",-0.176317539548574,-0.203146903562354,-0.245545289334484,"hungarian"
"5","5dd733664524e76dc4537fe2","vowels","English",-0.118679888816521,-0.105221637385066,-0.05166862882001,"hungarian"
"6","5e67032bc302df492496fbaa","vowels","English",-0.147619622465893,-0.129540688814974,-0.120915277353423,"hungarian"
"7","5ec5a55832a7515e8324a8a8","vowels","English",-0.120134609936188,-0.0516686288200099,-0.0901274967438104,"hungarian"
"8","5f174566f589920a8ba7e2df","vowels","English",-0.151559311231442,-0.232240388678999,-0.186716749996535,"hungarian"
"9","5f464897fd3e1a000a17db32","vowels","English",-0.100244066705661,-0.100447279361986,-0.129540688814974,"hungarian"
"10","5f4bf4536b68b57e64ad4f2d","vowels","English",-0.1092300570695,-0.157142506067715,-0.12842019161196,"hungarian"
"11","5f56143fd7f57c9e86a26bfa","vowels","English",-0.138014767786031,-0.149632882923575,-0.107138792985624,"hungarian"
"12","5fb31c2b353c5ea37f63bdc6","vowels","English",-0.0324323402564876,-0.0612650782376619,-0.061282282431011,"hungarian"
"13","5fc1df101de4be2f7e501f2c","vowels","English",-0.365989024073426,-0.107138792985624,-0.138541409602155,"hungarian"
"14","5fc679e8b4c6de107d3ba8f5","vowels","English",-0.103586279356329,-0.109203444247825,-0.107138792985624,"hungarian"
"15","5fd9889065c9f726aeaed2ae","vowels","English",-0.197585794424317,-0.111724080838054,-0.176375600809567,"hungarian"
"16","5fe1788f2178d1c1b4af5bbd","vowels","English",-0.128478814548241,-0.130352284462537,-0.138834838829641,"hungarian"
"17","5fe92ffe2c2ee638b14a6d29","vowels","English",-0.0612650782376619,-0.100070200257362,-0.151559311231442,"hungarian"
