"","participant","exp","l1","english","spanish"
"1","563bb259be9cac0005aab7ab","vowels","Spanish",-0.0572370151899248,-0.105221637385066
"2","5a56481276d1c60001aaeb61","vowels","Spanish",-0.186097275683922,-0.118886976329087
"3","5ad9fe1b80491c000142e065","vowels","Spanish",-0.149632882923575,-0.166812546184092
"4","5b77869d338a9300015468cf","vowels","Spanish",-0.0708065086095717,-0.103586279356329
"5","5c4b8e6f3b58fc00012769f0","vowels","Spanish",-0.0228024132112971,-0.0804279388541078
"6","5c72dea09048710001bce0d4","vowels","Spanish",-0.0591431700499712,-0.105221637385066
"7","5cf5fe247ce340001ac0bdd8","vowels","Spanish",-0.139623173011933,-0.162521793760986
"8","5d159d0a8078020016aa60b9","vowels","Spanish",-0.0900218719441968,-0.0996142940551688
"9","5d4cc624ae079c0019f544b6","vowels","Spanish",0.0367874001515174,-0.0516198943239242
"10","5d5c7b0c98683400182d00cb","vowels","Spanish",-0.0900430695864905,-0.109157994486928
"11","5d7c7425c0d7db00187b1199","vowels","Spanish",-0.196120213730259,-0.0572370151899248
"12","5d97bf1cfaa2860015b165a6","vowels","Spanish",-0.0278954088504222,-0.118679888816521
"13","5e111e34e69d0a80632daba6","vowels","Spanish",-0.109279389722854,-0.153210430139349
"14","5e3f7b673ba9991dc9cabcfa","vowels","Spanish",-0.0420162251537012,-0.055608467581311
"15","5e5e06a0394d0811996bd24a","vowels","Spanish",-0.0901274967438104,-0.0900828175506929
"16","5e88a67c651ae60009602e69","vowels","Spanish",-0.157142506067715,-0.197585794424317
"17","5e8e520df84fbf114143b0a2","vowels","Spanish",-0.0803926037917953,-0.0421466422186237
"18","5e9133f704391d46ee2bcb31","vowels","Spanish",-0.0804279388544982,-0.176317539548574
"19","5e9546ebbc08e21354f19f4d","vowels","Spanish",-0.149632882923575,-0.149632882923575
"20","5eb0cb5afb9e2418da928edb","vowels","Spanish",-0.00762384539234055,-0.0324323402564876
"21","5eb3a51f58efe718f5cffdb4","vowels","Spanish",-0.0913076048438711,-0.0813112730295783
"22","5eb471789686d82c24661cb3","vowels","Spanish",-0.0228232725162806,-0.0324528789270018
"23","5ec28db2622c500632dc95bc","vowels","Spanish",-0.0612396684742677,-0.0515632003326186
"24","5ee67e08ae1ebf0b622da12f","vowels","Spanish",-0.104403552114787,-0.103586279356329
"25","5f00962ef7b0241ae371d912","vowels","Spanish",-0.0420003701776657,-0.0708688539111028
"26","5f10dbe567c6dd412e0738cf","vowels","Spanish",-0.0612313139785263,-0.080678808966902
"27","5f19dc86afa07c0894f60578","vowels","Spanish",0.0618200725155387,-0.00368748830025429
"28","5f2dfe7552744f15bee0423c","vowels","Spanish",-0.128740640316611,-0.151559311231442
"29","5f2f0ce447c28c13b4644609","vowels","Spanish",-0.00570668979822345,-0.119123394553764
"30","5f3050933b5a04118e4a4f73","vowels","Spanish",-0.061176853967172,-0.0130356004855056
"31","5f3344917a7a0b159bd0c375","vowels","Spanish",-0.105221637385066,-0.118679888816521
"32","5f4056738318181904984b01","vowels","Spanish",-0.176375600809567,-0.197585794424317
"33","5f4928d947b9fe312e9980ad","vowels","Spanish",-0.0130356004855072,0.00145668691142563
"34","5f4e8e05550a4d095a76387f","vowels","Spanish",-0.055608467581311,-0.0901274967438104
"35","5f6265b707ccb62ae21f22a2","vowels","Spanish",-0.0516686288200099,-0.055608467581311
"36","5f627f278e84972eba87f841","vowels","Spanish",-0.118886976329264,-0.197585794424317
"37","5f67c61d4084d6407fb4a346","vowels","Spanish",-0.042026141556575,-0.0591431700499712
"38","5f6916f985575a0f22ec8f69","vowels","Spanish",-0.0228236108429852,-0.0324175439326838
"39","5f6aca6b9b8c12072e3b670c","vowels","Spanish",-0.0996496350640077,-0.147841329161307
"40","5f749c73a22350067f962e98","vowels","Spanish",-0.0516289012865506,-0.0712865482554671
"41","5f83e5fac85c275782756b34","vowels","Spanish",-0.186097275683922,-0.201198566897079
"42","5fb409b846be3f02e4bba819","vowels","Spanish",-0.103586279356329,-0.0904508781320784
"43","5fbef81be5a619162a47170c","vowels","Spanish",-0.0901274967438104,-0.103586279356329
"44","5fc58e33547d7a109d04a2b4","vowels","Spanish",-0.0811534106419711,-0.149632882923575
"45","5fc9b1252395584af6debd51","vowels","Spanish",-0.00303141342195205,-0.05166862882001
"46","5fd34418e94b23000a800dcc","vowels","Spanish",-0.128393977136363,-0.157142506067715
"47","5fd9684eb6ce932447f5e810","vowels","Spanish",-0.153210430139349,-0.167179488217397
"48","5fefa6ca19762831d10054bc","vowels","Spanish",-0.0804131425306944,-0.105221637385066
"49","5ffdbbc7ccbb0e317390f548","vowels","Spanish",-0.00356609305738922,-0.118983818342092
"50","60069526535f9aa0acab5ba3","vowels","Spanish",-0.070819341230607,-0.0900218719441969
