"","participant","exp","l1","english","l3","spanish","l3_group"
"1","5a08c9a7f2e3460001edb063","stops","English",0.695948502919223,0.950422185700126,0.354005114211394,"hungarian"
"2","5b2a091e7297750001c7653e","stops","English",0.0493794496301131,0.0999005111285857,0.143638291556579,"hungarian"
"3","5dd733664524e76dc4537fe2","stops","English",0.761642858391109,0.101229397454486,0.198235692967801,"hungarian"
"4","5e67032bc302df492496fbaa","stops","English",-0.194603795764761,-0.0103404161123536,-0.227678073640289,"hungarian"
"5","5ec5a55832a7515e8324a8a8","stops","English",0.73729932654284,0.0121787057696487,0.145579127690066,"hungarian"
"6","5f464897fd3e1a000a17db32","stops","English",0.07720980440213,-0.0338736662553935,0.765223340308464,"hungarian"
"7","5f4bf4536b68b57e64ad4f2d","stops","English",-0.200149303804407,-0.198112537087478,0.164542773169591,"hungarian"
"8","5f56143fd7f57c9e86a26bfa","stops","English",0.952343079410098,0.644861421866774,0.757719707591586,"hungarian"
"9","5fb31c2b353c5ea37f63bdc6","stops","English",0.430610566452953,0.196104675725603,0.143198907801166,"hungarian"
"10","5fc1df101de4be2f7e501f2c","stops","English",0.418555201996831,-0.00705930439845368,0.725464123052171,"hungarian"
"11","5fc679e8b4c6de107d3ba8f5","stops","English",0.606650704128009,0.142435447965266,0.116179878429705,"hungarian"
"12","5fd9889065c9f726aeaed2ae","stops","English",0.311988441388271,0.139787358605481,0.299821259977749,"hungarian"
"13","5fe1788f2178d1c1b4af5bbd","stops","English",1.25988819552031,0.622678019829568,0.853557951979161,"hungarian"
"14","5fe92ffe2c2ee638b14a6d29","stops","English",1.17985994139792,0.0782498946798065,1.06836837371781,"hungarian"
