"","participant","exp","l1","english","spanish"
"1","5a08c9a7f2e3460001edb063","vowels","English",-0.138108826114424,-0.155145786877891
"2","5b2a091e7297750001c7653e","vowels","English",-0.166946924290118,-0.167526037474302
"3","5b67bffa9ed653000189ff3c","vowels","English",-0.166812546183469,-0.149632882923575
"4","5c8be0dd542fbd0016924f5f","vowels","English",-0.109157994486928,-0.118679888816521
"5","5cf83992bab656000198a9c6","vowels","English",-0.176317539548574,-0.245545289334484
"6","5d3894798bb75200164c557e","vowels","English",-0.222853504237038,-0.187301407675985
"7","5d3df88c6a5b1e0001a91d8d","vowels","English",-0.155145786877891,-0.196729621254501
"8","5dab79a5525a7600139cd31e","vowels","English",-0.157330845318046,-0.166946924290075
"9","5dc483cf74939e34e55c3619","vowels","English",-0.11131188717255,-0.128420191611955
"10","5dd733664524e76dc4537fe2","vowels","English",-0.118679888816521,-0.05166862882001
"11","5df216021d6b46119b5b5db9","vowels","English",-0.155145786877891,-0.147619622465744
"12","5e67032bc302df492496fbaa","vowels","English",-0.147619622465893,-0.120915277353423
"13","5ea01b4b2d7b4d0243d93f78","vowels","English",-0.133256820986517,-0.0804279388237304
"14","5ec5a55832a7515e8324a8a8","vowels","English",-0.120134609936188,-0.0901274967438104
"15","5ed39d114858d002a0691781","vowels","English",-0.224269956916304,-0.203146903562354
"16","5ef34cc943115906d6aa397f","vowels","English",-0.128397538821183,-0.061176853967172
"17","5f174566f589920a8ba7e2df","vowels","English",-0.151559311231442,-0.186716749996535
"18","5f2bffa8d4f0d601244ab240","vowels","English",-0.153210430139349,-0.153210430139349
"19","5f464897fd3e1a000a17db32","vowels","English",-0.100244066705661,-0.129540688814974
"20","5f4bf4536b68b57e64ad4f2d","vowels","English",-0.1092300570695,-0.12842019161196
"21","5f51e044db8a35429f9d6e7b","vowels","English",-0.1093598795079,-0.147632512298514
"22","5f56143fd7f57c9e86a26bfa","vowels","English",-0.138014767786031,-0.107138792985624
"23","5f5f5013f947f6000bd8ddcb","vowels","English",-0.147632512298516,-0.176317539548574
"24","5f989fa02b5a611b2df1a305","vowels","English",-0.120134609929586,-0.105221637385066
"25","5fa0bf0afbd42f13cf56e987","vowels","English",-0.0999255634475485,-0.149632882923575
"26","5fac89c216b5ae293eb9cfd9","vowels","English",-0.109203444247825,-0.0804135137355632
"27","5fad49057daf5f0162284e86","vowels","English",-0.149632882923575,-0.109157994486928
"28","5fb31c2b353c5ea37f63bdc6","vowels","English",-0.0324323402564876,-0.061282282431011
"29","5fbb445fed317dc4907cfad4","vowels","English",-0.0900218719441968,-0.140679216712042
"30","5fc1df101de4be2f7e501f2c","vowels","English",-0.365989024073426,-0.138541409602155
"31","5fc679e8b4c6de107d3ba8f5","vowels","English",-0.103586279356329,-0.107138792985624
"32","5fceb47a2cc34e169c85d3d7","vowels","English",-0.176529334406337,-0.0804498925857004
"33","5fd529f2c346b034c758c278","vowels","English",-0.157220239303261,-0.157142506067715
"34","5fd9889065c9f726aeaed2ae","vowels","English",-0.197585794424317,-0.176375600809567
"35","5fe1788f2178d1c1b4af5bbd","vowels","English",-0.128478814548241,-0.138834838829641
"36","5fe92ffe2c2ee638b14a6d29","vowels","English",-0.0612650782376619,-0.151559311231442
