"","X","eb","sb","fb","EFBE","EnglishSpans_boundaryeffect","prolific_id","participantid","group","L3group","fs_effect"
"1",1,6.0999116351176,5.69021343762601,5.89937333473867,0.200538300378932,0.409698197491593,"5f749c73a22350067f962e98","seh2","SE","Hungarian",0.20915989711266
"2",1,6.30025586205589,6.02007889553674,6.0999116351176,0.200344226938292,0.280176966519154,"5e3f7b673ba9991dc9cabcfa","seh3","SE","Hungarian",0.0798327395808602
"3",1,3.90083186911621,3.06501850598176,3.47223018804051,0.428601681075699,0.835813363134444,"5e88a67c651ae60009602e69","seh4","SE","Hungarian",0.40721168205875
"4",1,5.29753660154951,5.02014451604417,4.49945287942862,0.798083722120888,0.277392085505337,"5fbef81be5a619162a47170c","seh5","SE","Hungarian",0.52069163661555
"5",1,6.30004918764936,5.93628500325937,6.02007889553701,0.279970292112354,0.363764184389991,"5f67c61d4084d6407fb4a346","seh6","SE","Hungarian",0.0837938922776393
"6",1,2.0197657408883,5.93628500325937,2.49957250412859,0.479806763240291,3.91651926237107,"5f3020ed291f7344af6d82e1","seh7","SE","Hungarian",3.43671249913078
"7",1,5.90091635300319,6.90426048700416,6.0999116351176,0.19899528211441,1.00334413400098,"5f3050933b5a04118e4a4f73","seh8","SE","Hungarian",0.80434885188656
"8",1,5.50028830287209,6.29753775320112,6.50000003154399,0.999711728671896,0.797249450329026,"5e8e520df84fbf114143b0a2","seh9","SE","Hungarian",0.202462278342869
"9",1,6.50000003154399,5.89871904775116,5.89907761187723,0.600922419666755,0.601280983792826,"5fb31c2b353c5ea37f63bdc6","seh10","SE","Hungarian",0.000358564126069716
"10",1,4.98078938962109,4.70245705782989,5.89978131558953,0.918991925968443,0.278332331791197,"5f3344917a7a0b159bd0c375","seh15","SE","Hungarian",1.19732425775964
"11",1,3.08847133582627,5.97992110446359,4.89940733577581,1.81093599994954,2.89144976863732,"5d7c7425c0d7db00187b1199","seh16","SE","Hungarian",1.08051376868778
