stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ifri_p.started,ifri_p.stopped,ufri_practice.started,ufri_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,ifri_p_2.started,ifri_p_2.stopped,ufri_practice_2.started,ufri_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim2/pa-20.wav,,,,,,,,,3,13,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.83478049980476,199.24813309987076,199.33116251984612,None,right,0.6091517000459135,199.3314384999685,None,199.3314384999685,None,199.3314384999685,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa+30.wav,,,,,,,,,4,0,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.96834169980139,200.38135979999788,200.46453361990862,None,right,0.7255349999759346,200.46464249980636,None,200.46464249980636,None,200.46464249980636,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa+15.wav,,,,,,,,,4,1,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.21735109994188,201.63100799988024,201.7145404199604,None,left,1.161256100051105,201.71444509993307,None,201.71444509993307,None,201.71444509993307,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa+25.wav,,,,,,,,,4,2,58,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.90164379985072,203.31411589984782,203.39749721982517,None,left,0.8775168999563903,203.39749629981816,None,203.39749629981816,None,203.39749629981816,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa-35.wav,,,,,,,,,4,3,59,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.2970252998639,204.69760279986076,204.7808762198314,None,right,0.6828114001546055,204.78102659992874,None,204.78102659992874,None,204.78102659992874,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa+10.wav,,,,,,,,,4,4,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.48537459992804,205.89723219978623,205.9808334199246,None,right,1.2179227001033723,205.98113189986907,None,205.98113189986907,None,205.98113189986907,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa-25.wav,,,,,,,,,4,5,61,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.21994059998542,207.63085529999807,207.7143039199058,None,right,0.8853815000038594,207.71399829979055,None,207.71399829979055,None,207.71399829979055,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa+35.wav,,,,,,,,,4,6,62,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.63294559996575,209.0474658999592,209.13070281976835,None,right,1.2040998002048582,209.13088709977455,None,209.13088709977455,None,209.13088709977455,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa-15.wav,,,,,,,,,4,7,63,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.36711389990523,210.78075079992414,210.86381211979315,None,right,0.768185299821198,210.86449239985086,None,210.86449239985086,None,210.86449239985086,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa-20.wav,,,,,,,,,4,8,64,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.66707969992422,212.08068939996883,212.16402141992003,None,right,0.7354790000244975,212.16419329983182,None,212.16419329983182,None,212.16419329983182,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa-30.wav,,,,,,,,,4,9,65,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.93388959998265,213.34722009999678,213.4304524197709,None,right,1.2045831999275833,213.43035179981962,None,213.43035179981962,None,213.43035179981962,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa-10.wav,,,,,,,,,4,10,66,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.66706349980086,215.0802262998186,215.16366871991195,None,right,0.690732300048694,215.1637470999267,None,215.1637470999267,None,215.1637470999267,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa+05.wav,,,,,,,,,4,11,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.88703789981082,216.2968712998554,216.38055691993796,None,right,0.7887343000620604,216.38016729988158,None,216.38016729988158,None,216.38016729988158,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa-05.wav,,,,,,,,,4,12,68,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.2022131998092,217.61347579979338,217.69697591997684,None,right,1.204707199940458,217.69671069993638,None,217.69671069993638,None,217.69671069993638,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim2/pa+20.wav,,,,,,,,,4,13,69,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.93246529996395,219.34692059992813,219.4301122199744,None,right,1.3347863000817597,219.42995729995891,None,219.42995729995891,None,219.42995729995891,None,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.04762849980034,None,,,,,,,
