stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_10.wav,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,25.665046299807727,26.06439680000767,26.164163519931027,None,right,0.8807727999519557,26.16461839992553,None,26.16461839992553,None,26.16461839992553,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_06.wav,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,27.063963699853048,27.464128999970853,27.563947619940155,None,left,1.228449400048703,27.564064799807966,None,27.564064799807966,None,27.564064799807966,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_01.wav,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,28.81669759983197,29.230340299895033,29.314187219901942,None,left,1.029195300070569,29.314237699843943,None,29.314237699843943,None,29.314237699843943,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_09.wav,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,30.363887399900705,30.76349169993773,30.863740619807505,None,right,0.8102925999555737,30.863815799821168,None,30.863815799821168,None,30.863815799821168,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_06.wav,,,,,1,0,11,5,,,,,,,,,,,,,,,,,,,,,,,,,31.698523399885744,32.1138032998424,32.19724011986982,None,left,1.1193136998917907,32.197388199856505,None,32.197388199856505,None,32.197388199856505,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_07.wav,,,,,1,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,33.347585699986666,33.74725509993732,33.846833419823085,None,right,0.9547643000259995,33.847313799895346,None,33.847313799895346,None,33.847313799895346,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_01.wav,,,,,1,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,34.829965099925175,35.23009629989974,35.31335131993983,None,left,0.955193700036034,35.31391289993189,None,35.31391289993189,None,35.31391289993189,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_08.wav,,,,,1,3,14,7,,,,,,,,,,,,,,,,,,,,,,,,,36.297827599802986,36.69637479982339,36.79721171997953,None,right,1.0468641999177635,36.79690509987995,None,36.79690509987995,None,36.79690509987995,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_02.wav,,,,,1,4,15,1,,,,,,,,,,,,,,,,,,,,,,,,,37.86436779983342,38.26363029982895,38.36337781983893,None,left,0.573185000102967,38.363492199918255,None,38.363492199918255,None,38.363492199918255,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_10.wav,,,,,1,5,16,9,,,,,,,,,,,,,,,,,,,,,,,,,38.96318399999291,39.36377129983157,39.463534819963385,None,right,0.6888824000488967,39.463223999831825,None,39.463223999831825,None,39.463223999831825,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_04.wav,,,,,1,6,17,3,,,,,,,,,,,,,,,,,,,,,,,,,40.180260399822146,40.58029369986616,40.67996622000355,None,left,0.5123234998900443,40.68030099989846,None,40.68030099989846,None,40.68030099989846,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
