stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_01.wav,0,0,0,0,,,,,,,,,33.07219629990868,None,47.18331009987742,47.59637130005285,47.67982477990445,None,left,4.584893400082365,47.67959260009229,None,47.67959260009229,None,47.67959260009229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_11.wav,0,1,1,1,,,,,,,,,,,52.30353610008024,52.71276080003008,52.77927437999752,None,right,1.6970490999519825,52.779060299973935,None,52.779060299973935,None,52.779060299973935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
,,,,,,,,,,,,,,,,,,,,,,,,,,,55.31278720009141,56.312345299869776,space,4.524163800058886,55.562555599957705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_03.wav,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,60.12882569991052,60.52875699987635,60.612444779998626,None,left,5.006884700153023,60.61212900001556,None,60.61212900001556,None,60.61212900001556,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_02.wav,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,65.65257959999144,66.06182059994899,66.1451232800493,None,left,1.2748702000826597,66.14537140005268,None,66.14537140005268,None,66.14537140005268,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_10.wav,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,67.45010640006512,67.86155429994687,67.94499028001447,None,right,0.7277716000098735,67.94527880009264,None,67.94527880009264,None,67.94527880009264,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_08.wav,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,68.69832059997134,69.11124860006385,69.19472357996274,None,right,0.6984206000342965,69.19497839990072,None,69.19497839990072,None,69.19497839990072,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_04.wav,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,69.91089539998211,70.31180220004171,70.39451927987393,None,left,0.9073286999482661,70.39517889986746,None,70.39517889986746,None,70.39517889986746,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_01.wav,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,71.33048069989309,71.74509519990534,71.82835387990345,None,left,0.662145100068301,71.82817639992572,None,71.82817639992572,None,71.82817639992572,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_06.wav,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,72.5155764000956,72.9280344999861,73.01137708004099,None,right,0.621017900062725,73.01174320001155,None,73.01174320001155,None,73.01174320001155,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
stim/VC_09.wav,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,73.66472480003722,74.07793090003543,74.16152087987867,None,right,0.7639065000694245,74.16140259988606,None,74.16140259988606,None,74.16140259988606,None,,,,,,,,,,,,,,,,,01,eme01p,2020_Oct_09_1333,2_afc_eng,2020.2.3,59.933713338575394,
