stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_09.wav,,,,,2,0,22,8,,,,,,,,,,,,,,,,,,,,,,,,,77.04759870003909,77.46051490004174,77.54403710013722,None,right,0.5906114000827074,77.5441742001567,None,77.5441742001567,None,77.5441742001567,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_02.wav,,,,,2,1,23,1,,,,,,,,,,,,,,,,,,,,,,,,,78.16401730012149,78.57741650007665,78.66097750023474,None,left,0.809457000112161,78.66048960015178,None,78.66048960015178,None,78.66048960015178,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_06.wav,,,,,2,2,24,5,,,,,,,,,,,,,,,,,,,,,,,,,79.49821049999446,79.91072300006635,79.99397030004766,None,left,1.3157645999453962,79.9935699000489,None,79.9935699000489,None,79.9935699000489,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_04.wav,,,,,2,3,25,3,,,,,,,,,,,,,,,,,,,,,,,,,81.33132970007136,81.7441241000779,81.8272643000586,None,left,0.8670431999489665,81.82731120008975,None,81.82731120008975,None,81.82731120008975,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_05.wav,,,,,2,4,26,4,,,,,,,,,,,,,,,,,,,,,,,,,82.7118876001332,83.12678550020792,83.2104908001842,None,right,1.6270497001241893,83.21054020011798,None,83.21054020011798,None,83.21054020011798,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_03.wav,,,,,2,5,27,2,,,,,,,,,,,,,,,,,,,,,,,,,84.86402910016477,85.27722600009292,85.3605262001278,None,left,1.041127400007099,85.36031520017423,None,85.36031520017423,None,85.36031520017423,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_11.wav,,,,,2,6,28,10,,,,,,,,,,,,,,,,,,,,,,,,,86.42931360006332,86.84352300013416,86.92696040004958,None,right,0.736015799921006,86.92669210000895,None,86.92669210000895,None,86.92669210000895,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_01.wav,,,,,2,7,29,0,,,,,,,,,,,,,,,,,,,,,,,,,87.69719020021148,88.11017360002734,88.19348200012465,None,left,0.7939319999422878,88.19358439999633,None,88.19358439999633,None,88.19358439999633,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_10.wav,,,,,2,8,30,9,,,,,,,,,,,,,,,,,,,,,,,,,89.01461140019819,89.42700250004418,89.51016800010112,None,right,1.0333552001975477,89.5100738001056,None,89.5100738001056,None,89.5100738001056,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_07.wav,,,,,2,9,31,6,,,,,,,,,,,,,,,,,,,,,,,,,90.56287850020453,90.9768249001354,91.06014890011866,None,right,1.615134899970144,91.05979240010493,None,91.05979240010493,None,91.05979240010493,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
