stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim2/pa+15.wav,0,0,0,2,7.932408499997109,8.341689999913797,8.39184855998028,None,left,1.7627807001117617,8.391686300048605,None,8.391686300048605,None,8.391686300048605,None,vd,001,2020_Oct_09_1215,untitled,2020.2.3,59.972496640994486,
stim2/pa+35.wav,0,1,1,6,10.18274229997769,10.591459000017494,10.674624260072596,None,left,0.4139958000741899,10.67474490008317,None,10.67474490008317,None,10.67474490008317,None,vd,001,2020_Oct_09_1215,untitled,2020.2.3,59.972496640994486,
stim2/pa+20.wav,0,2,2,3,11.113286500098184,11.52498390013352,11.60807236006949,None,left,0.45107259997166693,11.608105400111526,None,11.608105400111526,None,11.608105400111526,None,vd,001,2020_Oct_09_1215,untitled,2020.2.3,59.972496640994486,
stim2/pa-15.wav,0,3,3,9,12.079556999960914,12.491516900015995,12.574977460107766,None,left,2.5994905999395996,12.575031500076875,None,12.575031500076875,None,12.575031500076875,None,vd,001,2020_Oct_09_1215,untitled,2020.2.3,59.972496640994486,
