stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,pa.started,pa.stopped,ba.started,ba.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim2/pa-10.wav,0,0,0,8,9.557352500036359,9.967341999989003,10.033918260061181,None,right,1.2494228999130428,10.033947000047192,None,10.033947000047192,None,10.033947000047192,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+20.wav,0,1,1,3,11.302388600073755,11.717167099937797,11.800450959871522,None,left,1.0431995000690222,11.800027299905196,None,11.800027299905196,None,11.800027299905196,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa-20.wav,0,2,2,10,12.867071599932387,13.267108500003815,13.350346659938804,None,right,0.8831907000858337,13.350601299898699,None,13.350601299898699,None,13.350601299898699,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+30.wav,0,3,3,5,14.251316899899393,14.65045959991403,14.750231259898282,None,left,0.7031033001840115,14.750335599994287,None,14.750335599994287,None,14.750335599994287,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+15.wav,0,4,4,2,15.483507300028577,15.883430399931967,15.966805459861643,None,right,0.8097351000178605,15.967241199919954,None,15.967241199919954,None,15.967241199919954,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+35.wav,0,5,5,6,16.804378800094128,17.21677890000865,17.299981760024092,None,left,0.6267548000905663,17.300151499919593,None,17.300151499919593,None,17.300151499919593,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+05.wav,0,6,6,0,17.949930100003257,18.350005599902943,18.45005605991464,None,right,1.467600299976766,18.45043700002134,None,18.45043700002134,None,18.45043700002134,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa-25.wav,0,7,7,11,19.93307749996893,20.3332505999133,20.416619959915987,None,right,1.0660369000397623,20.41678630001843,None,20.41678630001843,None,20.41678630001843,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa-15.wav,0,8,8,9,21.501354000065476,21.916705100098625,21.999736060085706,None,right,0.8739177999086678,21.99996879999526,None,21.99996879999526,None,21.99996879999526,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa-35.wav,0,9,9,13,22.899724300019443,23.299323400016874,23.38292846006807,None,right,0.8098460000474006,23.38311309996061,None,23.38311309996061,None,23.38311309996061,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+10.wav,0,10,10,1,24.218858199892566,24.632871400099248,24.716585060046054,None,left,0.80370599986054,24.716623599873856,None,24.716623599873856,None,24.716623599873856,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa-30.wav,0,11,11,12,25.54994049994275,25.94938650005497,26.049582360009662,None,right,0.7624119999818504,26.050054999999702,None,26.050054999999702,None,26.050054999999702,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa-05.wav,0,12,12,7,26.835182999959216,27.249603299889714,27.333060159976593,None,right,0.8585137000773102,27.3329632000532,None,27.3329632000532,None,27.3329632000532,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+25.wav,0,13,13,4,28.21643040003255,28.61598960007541,28.71626685995143,None,left,0.6152599998749793,28.71615149988793,None,28.71615149988793,None,28.71615149988793,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+30.wav,1,0,14,5,29.351901599904522,29.766290199942887,29.849381959927268,None,left,1.3322064999956638,29.84961390006356,None,29.84961390006356,None,29.84961390006356,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+05.wav,1,1,15,0,31.20171510009095,31.615955699933693,31.699130759970284,None,right,0.7594180000014603,31.699570799944922,None,31.699570799944922,None,31.699570799944922,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa+10.wav,1,2,16,1,32.4844168999698,32.8992371999193,32.98250655985903,None,left,0.9784218999557197,32.98258539987728,None,32.98258539987728,None,32.98258539987728,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
stim2/pa-20.wav,1,3,17,10,33.98225970007479,34.381884600035846,34.46526826003101,None,right,0.6057001000735909,34.46559250005521,None,34.46559250005521,None,34.46559250005521,None,g,001,2020_Oct_09_1242,untitled,2020.2.3,60.043940140475094,
